uniqueID,genus,species,det_by,sex,date_determined,taxonomy_note,,,,,,,
406,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
407,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
408,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
409,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
410,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
411,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
412,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
413,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
414,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
415,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
416,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
417,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
418,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
419,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
420,Bombus,impatiens,SL,F,19i2021,,,,,,,,
421,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
422,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
423,Dufourea,novaeangliae,CA,M,21i2021,,,,,,,,
424,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
425,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
426,Dufourea,novaeangliae,CA,F,21i2021,,,,,,,,
427,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
428,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
429,Megachile,campanulae,CA,F,9xii2021,,,,,,,,
430,Bombus,vagans,SL,F,20i2021,,,,,,,,
431,Augochlora,pura,CA,F,23i2021,,,,,,,,
432,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
433,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
434,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
435,Apis,mellifera,SL + CA,F,15i2021,,,,,,,,
436,Megachile,sp.,CA,M,9xii2021,,,,,,,,
437,Augochloropsis,metallica,CA + SL,F,15i2021,,,,,,,,
438,Bombus,impatiens,SL,F,19i2021,,,,,,,,
439,Megachile,rotundata,CA,F,09xii2021,,,,,,,,
440,Lasioglossum,leucozonium,CA,F,23i2021,,,,,,,,
441,Bombus,bimaculatus,SL,M,19i2021,,,,,,,,
442,Halictus,ligatus,CA + SL,F,15ii2021,,,,,,,,
443,Agapostemon,texanus,SL,F,15i2021,,,,,,,,
444,Heriades,carinata,CA,F,23iii2021,,,,,,,,
445,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
446,Halictus,rubicundus,SL,F,15ii2021,,,,,,,,
447,Agapostemon,virescens,SL,F,15i2021,,,,,,,,
448,Halictus,ligatus,CA + SL,F,15ii2021,,,,,,,,
